"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","Length velocity (cm/month) Year 1 to Year 2","515","0.96","1.55","0.8","0.8","0 (-0.01, 0.01)","0.6","0.82"
"4","","Weight velocity (kg/month) Year 1 to Year 2","517","0.96","1.55","0.15","0.15","0 (-0.01, 0)","0.02","0.55"
"5","","Head circumference velocity (cm/month) Year 1 to Year 2","520","0.96","1.55","0.15","0.15","-0.01 (-0.01, 0)","0.12","0.72"
"6","","","","","","","","","",""
"7","Ln IL-2/IL-10","Length velocity (cm/month) Year 1 to Year 2","510","-3.21","-1.93","0.8","0.8","0 (-0.01, 0.01)","0.55","0.82"
"8","","Weight velocity (kg/month) Year 1 to Year 2","512","-3.2","-1.93","0.15","0.15","0 (-0.01, 0)","0.31","0.76"
"9","","Head circumference velocity (cm/month) Year 1 to Year 2","515","-3.21","-1.93","0.15","0.16","0.01 (0, 0.03)","0.16","0.72"
"10","","","","","","","","","",""
"11","Ln GM-CSF/IL-10","Length velocity (cm/month) Year 1 to Year 2","518","1.17","2.34","0.8","0.8","0 (-0.01, 0.01)","0.73","0.88"
"12","","Weight velocity (kg/month) Year 1 to Year 2","520","1.17","2.34","0.15","0.15","0 (0, 0.01)","0.51","0.82"
"13","","Head circumference velocity (cm/month) Year 1 to Year 2","523","1.17","2.35","0.15","0.15","0 (-0.01, 0)","0.38","0.76"
"14","","","","","","","","","",""
"15","Ln Th1/IL-10","Length velocity (cm/month) Year 1 to Year 2","517","0.86","1.35","0.8","0.8","0 (-0.01, 0)","0.37","0.76"
"16","","Weight velocity (kg/month) Year 1 to Year 2","519","0.86","1.35","0.15","0.15","0 (-0.01, 0)","0.07","0.68"
"17","","Head circumference velocity (cm/month) Year 1 to Year 2","522","0.86","1.35","0.15","0.15","0 (0, 0.01)","0.44","0.78"
"18","","","","","","","","","",""
"19","Ln Th2/IL-10","Length velocity (cm/month) Year 1 to Year 2","516","0.51","1.21","0.8","0.8","0 (-0.01, 0.01)","0.85","0.89"
"20","","Weight velocity (kg/month) Year 1 to Year 2","518","0.5","1.21","0.15","0.15","0 (-0.01, 0)","0.16","0.72"
"21","","Head circumference velocity (cm/month) Year 1 to Year 2","521","0.5","1.21","0.14","0.16","0.01 (0, 0.02)","0.07","0.68"
"22","","","","","","","","","",""
"23","Ln Th17/IL-10","Length velocity (cm/month) Year 1 to Year 2","510","0.35","1.05","0.8","0.79","0 (-0.02, 0.01)","0.35","0.76"
"24","","Weight velocity (kg/month) Year 1 to Year 2","512","0.35","1.06","0.15","0.15","0 (-0.01, 0)","0.1","0.72"
"25","","Head circumference velocity (cm/month) Year 1 to Year 2","515","0.35","1.07","0.15","0.15","-0.01 (-0.01, 0)","0.23","0.76"
"26","","","","","","","","","",""
"27","Ln Th1/Th2","Length velocity (cm/month) Year 1 to Year 2","516","0.03","0.5","0.8","0.79","-0.01 (-0.02, 0.01)","0.32","0.76"
"28","","Weight velocity (kg/month) Year 1 to Year 2","518","0.04","0.5","0.15","0.15","0 (0, 0)","0.71","0.88"
"29","","Head circumference velocity (cm/month) Year 1 to Year 2","521","0.03","0.5","0.15","0.15","0 (0, 0.01)","0.71","0.88"
"30","","","","","","","","","",""
"31","Ln Th1/Th17","Length velocity (cm/month) Year 1 to Year 2","510","0.18","0.7","0.8","0.8","0 (-0.01, 0.01)","0.62","0.82"
"32","","Weight velocity (kg/month) Year 1 to Year 2","512","0.18","0.7","0.16","0.15","-0.01 (-0.02, 0)","0.24","0.76"
"33","","Head circumference velocity (cm/month) Year 1 to Year 2","515","0.18","0.7","0.15","0.15","0 (0, 0.01)","0.08","0.68"
"34","","","","","","","","","",""
"35","Ln IFN-y","Length velocity (cm/month) Year 1 to Year 2","519","1.74","2.35","0.78","0.78","0 (-0.03, 0.03)","0.86","0.89"
"36","","Weight velocity (kg/month) Year 1 to Year 2","521","1.74","2.35","0.15","0.15","0 (0, 0.01)","0.33","0.76"
"37","","Head circumference velocity (cm/month) Year 1 to Year 2","524","1.73","2.35","0.15","0.15","0 (-0.01, 0.01)","0.87","0.89"
"38","","","","","","","","","",""
"39","Sum score of 13 cytokines","Length velocity (cm/month) Year 1 to Year 2","519","-0.63","0.71","0.8","0.8","-0.01 (-0.02, 0.01)","0.43","0.78"
"40","","Weight velocity (kg/month) Year 1 to Year 2","521","-0.63","0.7","0.15","0.15","0 (0, 0.01)","0.18","0.74"
"41","","Head circumference velocity (cm/month) Year 1 to Year 2","524","-0.63","0.7","0.15","0.15","0 (-0.01, 0.01)","0.81","0.89"
